Topic,Topic,Topic,Topic,Learning Outcome,Learning Outcome Dependence,URL and  Question Topic,URL and  Question Topic,URL and  Question Topic,URL and  Question Topic
,,Homogeneous and non-homogeneous system of  linear equations,,,,,,,
,,,,,,,,,
,,Solve a system of linear non-homogenous equations,,,,,,,
,,,,Solve by multiplying with matrix inverse.,,,,,
,,,,Elementary row operations,,,,,
,,,,LU factorization,,,,,
,,Consistent or inconsistent system of  linear equations,,,,,,,
,Standard form of a quadratic equation in one variable,,,,,,,,
,Solve a quadratic equation in one variable,,,,,,,,
,,Factorization,,,,,,,
,,Completing the square,,,,,,,
,,Quadratic formula,,,,,,,
,Relations between roots and co-efficient of quadratic equation in one variable,,,,,,,,
,Solve equation reducible to quadratic equations in one variable,,,,,,,,
,Cube roots and Fourth Roots of unity,,,,,,,,
,Application of remainder theorem in solution of equations,,,,,,,,
,Formation of quadratic equations from given conditions,,,,,,,,
,Solve a system of two quadratic equations in two variables,,,,,,,,
,Solve a system of one quadratic and one linear equations in two variables,,,,,,,,
,Solve word problems leading to quadratic equations,,,,,,,,
Partial Fractions ,,,,,,,,,
,Proper and improper rational fraction,,,,,,,,
,Reduce a fraction into partial fractions,,,,,,,,
,,Denominator has linear factors,,,,,,,
,,Denominator has repeated linear factors,,,,,,,
,,Denominator has non-repeated quadratic factors,,,,,,,
Sequence and Series,,,,,,,,,
,Concept of a sequence,,,,,,,,
,Types of sequences,,,,,,,,
,,"Arithmetic, geometric and harmonic sequences",,,,,,,
,Arithmetic sequences,,,,,,,,
,,"Common difference, nth term, number of terms in an arithmetic sequence",,,,,,,
,,,,,,,,,
,Geometric sequences,,,,,,,,
,,"Common ratio, nth term, number of terms in a geometric sequence",,,,,,,
,,Word problems for geometric sequences,,,,,,,
,Harmonic sequences,,,,,,,,
,,"Mean, nth term, number of terms in a harmonic sequence",,,,,,,
,"Sum of the first n natural numbers, their Squares and Cubes",,,,,,,,
,Word problems for sequences,,,,,,,,
Permutations and Combinations,,,,,,,,,
,Factorial of a Natural Number,,,,,,,,
,,Factorial based calculations,,,,,,,
,Permutations,,,,,,,,
,,"Formula for P(n,r)",,,,,,,
,,Tree diagrams,,,,,,,
,,"Applications of P(n,r)",,,,,,,
,Combinations,,,,,,,,
,,"Formula for C(n,r)",,,,,,,
,,"Applications of C(n,r)",,,,,,,
Probability ,,,,,,,,,
,Sample space,,,,,,,,
,Types of events,,,,,,,,
,,Mutually exclusive events,,,,,,,
,,Independent and dependent events,,,,,,,
,Calculate probability of events,,,,,,,,
,,Venn Diagrams,,,,,,,
,,Addition and multiplication of probabilities,,,,,,,
Mathematical Induction,,,,,,,,,
Binomial series,,,,,,,,,
,Binomial theorem,,,,,,,,
,Formula for kth term in binomial series,,,,,,,,
Trigonometry ,,,,,,,,,
,Units of measures of angles,,,,,,,,
,Trigonometric Functions,,,,,,,,
,Trigonometric identities of trigonometric functions,,,,,,,,
,Trigonometric identities of sum and difference of angles ,,,,,,,,
,Trigonometric functions and their graphs ,,,,,,,,
,Inverse trigonometric functions ,,,,,,,,
,Solutions of trigonometric equations ,,,,,,,,
,Application of trigonometry ,,,,,,,,
,,Heights and distances,,,,,,,
,,Cosine formula,,,,,,,
,,Sine formula,,,,,,,
,,Tangent formula,,,,,,,
,,Values of the trigonometric ratios in terms of the sides,,,,,,,
,,Areas of triangular regions,,,,,,,
,,Radii of circles connected with triangles,,,,,,,
