,,Example problem: Job-shop scheduling  ,,,,,
,,Variations on the CSP formalism ,,,,,
,Constraint Propagation: Inference in CSPs  ,,,,,,
,, Node consistency ,,,,,
,,Arc consistency ,,,,,
,,Path consistency,,,,,
,,K-consistency,,,,,
,,Global constraints,,,,,
,,Sudoku example ,,,,,
,Backtracking Search for CSPs ,,,,,,
,,Variable and value ordering,,,,,
,,Interleaving search and inference,,,,,
,,Intelligent backtracking: Looking backward ,,,,,
,Local Search for CSPs ,,,,,,
,The Structure of Problems ,,,,,,
Logical Agents,,,,,,,
,Knowledge-Based Agents,,,,,,
,The Wumpus World,,,,,,
,Logic,,,,,,
,Propositional Logic: A Very Simple Logic,,,,,,
,,Syntax,,,,,
,,Semantics,,,,,
,,A simple knowledge base,,,,,
,,A simple inference procedure,,,,,
,Propositional Theorem Proving,,,,,,
,,Inference and proofs,,,,,
,,Proof by resolution,,,,,
,,Conjunctive normal form,,,,,
,,A resolution algorithm,,,,,
,,Completeness of resolution,,,,,
,,Horn clauses and definite clauses,,,,,
,,Forward and backward chaining,,,,,
,Effective Propositional Model Checking,,,,,,
,,A complete backtracking algorithm,,,,,
,,Local search algorithms,,,,,
,,The landscape of random SAT problems,,,,,
,Agents Based on Propositional Logic,,,,,,
,,The current state of the world,,,,,
,,A hybrid agent,,,,,
,,Logical state estimation,,,,,
,,Making plans by propositional inference,,,,,
First-Order Logic,,,,,,,
,Representation Revisited,,,,,,
,,The language of thought,,,,,
,,Combining the best of formal and natural languages,,,,,
,Syntax and Semantics of First-Order Logic,,,,,,
,,Models for first-order logic,,,,,
,,Symbols and interpretations,,,,,
,,Terms,,,,,
,,Atomic sentences,,,,,
,,Complex sentences,,,,,
,,Quantifiers,,,,,
,,Universal quantification,,,,,
,,Existential quantification,,,,,
,,Nested quantifiers,,,,,
,,Connections between ? and ?,,,,,
,,Equality,,,,,
,,An alternative semantics?,,,,,
,Using First-Order Logic,,,,,,
,,Assertions and queries in first-order logic,,,,,
,,The kinship domain,,,,,
,,"Numbers, sets and lists",,,,,
,,The wumpus world,,,,,
,Knowledge Engineering in First-Order Logic,,,,,,
,,The knowledge-engineering process,,,,,
,,The electronic circuits domain,,,,,
,,Identify the task,,,,,
,,Assemble the relevant knowledge,,,,,
,,Decide on a vocabulary,,,,,
,,Encode general knowledge of the domain,,,,,
,,Encode the specific problem instance,,,,,
,,Pose queries to the inference procedure,,,,,
,,Debug the knowledge base,,,,,
Inference in First-Order Logic,,,,,,,
,Propositional vs. First-Order Inference,,,,,,
,,Inference rules for quantifiers,,,,,
,,Reduction to propositional inference,,,,,
,Unification and Lifting,,,,,,
,,A first-order inference rule,,,,,
,,Unification,,,,,
,,Storage and retrieval,,,,,
,Forward Chaining,,,,,,
,,First-order definite clauses,,,,,
,,A simple forward-chaining algorithm,,,,,
,,Efficient forward chaining,,,,,
,,Matching rules against known facts,,,,,
,,Incremental forward chaining,,,,,
,,Irrelevant facts,,,,,
,Backward Chaining,,,,,,
,,A backward-chaining algorithm,,,,,
,,Logic programming,,,,,
,,Efficient implementation of logic programs,,,,,
,,Redundant inference and infinite loops,,,,,
,,Database semantics of Prolog,,,,,
,,Constraint logic programming,,,,,
,Resolution,Resolution,,,,,
,,Conjunctive normal form for first-order logic,,,,,
,,The resolution inference rule,,,,,
,,Example proofs,,,,,
,,Completeness of resolution,,,,,
,,Equality,,,,,
,,Resolution strategies,,,,,
,,Practical uses of resolution theorem provers,,,,,
Classical Planning,,,,,,,
,Definition of Classical Planning,,,,,,
,,Example: Air cargo transport,,,,,
,,Example: The spare tire problem,,,,,
,,Example: The blocks world,,,,,
,,The complexity of classical planning,,,,,
,Algorithms for Planning as State-Space Search,,,,,,
,,Forward (progression) state-space search,,,,,
,,Backward (regression) relevant-states search,,,,,
,,Heuristics for planning,,,,,
,Planning Graphs,,,,,,
,,Planning graphs for heuristic estimation,,,,,
,,The Graphplan algorithm,,,,,
,,Termination of Graphplan,,,,,
,Other Classical Planning Approaches,,,,,,
,,Classical planning as Boolean satisfiability,,,,,
,,Planning as first-order logical deduction: Situation calculus,,,,,
,,Planning as constraint satisfaction,,,,,
,,Planning as refinement of partially ordered plans,,,,,
,Analysis of Planning Approaches,,,,,,
Planning and Acting in the Real World,,,,,,,
,"Time, Schedules, and Resources",,,,,,
,,Representing temporal and resource constraints,,,,,
,,Solving scheduling problems,,,,,
,Hierarchical Planning,,,,,,
,,High-level actions,,,,,
,,Searching for primitive solutions,,,,,
,,Searching for abstract solutions,,,,,
,Planning and Acting in Nondeterministic Domains,,,,,,
,,Sensorless planning,,,,,
,,Contingent planning,,,,,
,,Online replanning,,,,,
,Multiagent Planning,,,,,,
,,Planning with multiple simultaneous actions,,,,,
,,Planning with multiple agents: Cooperation and coordination,,,,,
Knowledge Representation,,,,,,,
,Ontological Engineering,,,,,,
,Categories and Objects,,,,,,
,,Physical composition,,,,,
,,Measurements,,,,,
,,Objects: Things and stuff,,,,,
,Events,,,,,,
,,Processes,,,,,
,,Time intervals,,,,,
,,Fluents and objects,,,,,
,Mental Events and Mental Objects,,,,,,
,Reasoning Systems for Categories,,,,,,
,,Semantic networks,,,,,
,,Description logics,,,,,
,Reasoning with Default Information,,,,,,
,,Circumscription and default logic,,,,,
,,Truth maintenance systems,,,,,
,The Internet Shopping World,,,,,,
,,Following links,,,,,
,,Comparing offers,,,,,
Quantifying Uncertainty,,,,,,,
,Acting under Uncertainty,,,,,,
,,Summarizing uncertainty,,,,,
,,Uncertainty and rational decisions,,,,,
,Basic Probability Notation,,,,,,
,,What probabilities are about,,,,,
,,The language of propositions in probability assertions,,,,,
,,Probability axioms and their reasonableness,,,,,
,Inference Using Full Joint Distributions,,,,,,
,Independence,,,,,,
,Bayes' Rule and Its Use,,,,,,
,,Applying Bayes' rule: The simple case,,,,,
,,Using Bayes' rule: Combining evidence,,,,,
Probabilistic Reasoning,,,,,,,
,Representing Knowledge in an Uncertain Domain,,,,,,
,The Semantics of Bayesian Networks,,,,,,
,,Representing the full joint distribution,,,,,
,,A method for constructing Bayesian networks,,,,,
,,Compactness and node ordering,,,,,
,,Conditional independence relations in Bayesian networks,,,,,
,Efficient Representation of Conditional Distributions,,,,,,
,,Bayesian nets with continuous variables,,,,,
,Exact Inference in Bayesian Networks,,,,,,
,,Inference by enumeration,,,,,
,,The variable elimination algorithm,,,,,
,,Operations on factors,,,,,
,,Variable ordering and variable relevance,,,,,
,,The complexity of exact inference,,,,,
,,Clustering algorithms,,,,,
,Approximate Inference in Bayesian Networks,,,,,,
,,Direct sampling methods,,,,,
,,Rejection sampling in Bayesian networks,,,,,
,,Likelihood weighting,,,,,
,,Inference by Markov chain simulation,,,,,
,,Gibbs sampling in Bayesian networks,,,,,
,,Why Gibbs sampling works,,,,,
,Relational and First-Order Probability Models,,,,,,
,,Possible worlds,,,,,
,,Relational probability models,,,,,
,,Open-universe probability models,,,,,
,Other Approaches to Uncertain Reasoning,,,,,,
,,Rule-based methods for uncertain reasoning,,,,,
,,Representing ignorance: Dempster--Shafer theory,,,,,
,,Representing vagueness: Fuzzy sets and fuzzy logic,,,,,
Probabilistic Reasoning over Time,,,,,,,
,Time and Uncertainty,,,,,,
,,States and observations,,,,,
,,Transition and sensor models,,,,,
,Inference in Temporal Models,,,,,,
,,Filtering and prediction,,,,,
,,Smoothing,,,,,
,,Finding the most likely sequence,,,,,
,Hidden Markov Models,,,,,,
,,Simplified matrix algorithms,,,,,
,,Hidden Markov model example: Localization,,,,,
,Kalman Filters,,,,,,
,,Updating Gaussian distributions,,,,,
,,A simple one-dimensional example,,,,,
,,The general case,,,,,
,,Applicability of Kalman filtering,,,,,
,Dynamic Bayesian Networks,,,,,,
,,Constructing DBNs,,,,,
,,Exact inference in DBNs,,,,,
,,Approximate inference in DBNs,,,,,
,Keeping Track of Many Objects,,,,,,
Making Simple Decisions,,,,,,,
,Combining Beliefs and Desires under Uncertainty,,,,,,
,The Basis of Utility Theory,,,,,,
,,Constraints on rational preferences,,,,,
,,Preferences lead to utility,,,,,
,Utility Functions,,,,,,
,,Utility assessment and utility scales,,,,,
,,The utility of money,,,,,
,,Expected utility and post-decision disappointment,,,,,
,,Human judgment and irrationality,,,,,
,Multiattribute Utility Functions,,,,,,
,,Dominance,,,,,
,,Preference structure and multiattribute utility,,,,,
,,Preferences without uncertainty,,,,,
,,Preferences with uncertainty,,,,,
,Decision Networks,,,,,,
,,Representing a decision problem with a decision network,,,,,
,,Evaluating decision networks,,,,,
,The Value of Information,,,,,,
,,A simple example,,,,,
,,A general formula for perfect information,,,,,
,,Properties of the value of information,,,,,
,,Implementation of an information-gathering agent,,,,,
,Decision-Theoretic Expert Systems,,,,,,
Making Complex Decisions,,,,,,,
,Sequential Decision Problems,,,,,,
,,Utilities over time,,,,,
,,Optimal policies and the utilities of states,,,,,
,Value Iteration,,,,,,
,,The Bellman equation for utilities,,,,,
,,The value iteration algorithm,,,,,
,,Convergence of value iteration,,,,,
,Policy Iteration,,,,,,
,Partially Observable MDPs,,,,,,
,,Definition of POMDPs,,,,,
,,Value iteration for POMDPs,,,,,
,,Online agents for POMDPs,,,,,
,Decisions with Multiple Agents: Game Theory,,,,,,
,,Single-move games,,,,,
,,Repeated games,,,,,
,,Sequential games,,,,,
,Mechanism Design,,,,,,
,,Auctions,,,,,
,,Common goods,,,,,
Learning from Examples,,,,,,,
,Forms of Learning,,,,,,
,,Components to be learned,,,,,
,,Representation and prior knowledge,,,,,
,,Feedback to learn from,,,,,
,Supervised Learning,,,,,,
,Learning Decision Trees,,,,,,
,,The decision tree representation,,,,,
,,Expressiveness of decision trees,,,,,
,,Inducing decision trees from examples,,,,,
,,Choosing attribute tests,,,,,
,,Generalization and overfitting,,,,,
,,Broadening the applicability of decision trees,,,,,
,Evaluating and Choosing the Best Hypothesis,,,,,,
,,Model selection: Complexity versus goodness of fit,,,,,
,,From error rates to loss,,,,,
,,Regularization,,,,,
,The Theory of Learning,,,,,,
,,PAC learning example: Learning decision lists,,,,,
,Regression and Classification with Linear Models,,,,,,
,,Univariate linear regression,,,,,
,,Multivariate linear regression,,,,,
,,Linear classifiers with a hard threshold,,,,,
,,Linear classification with logistic regression,,,,,
,Artificial Neural Networks,,,,,,
,,Neural network structures,,,,,
,,Single-layer feed-forward neural networks (perceptrons),,,,,
,,Multilayer feed-forward neural networks,,,,,
,,Learning in multilayer networks,,,,,
,,Learning neural network structures,,,,,
,Nonparametric Models,,,,,,
,,Nearest neighbor models,,,,,
,,Finding nearest neighbors with k-d trees,,,,,
,,Locality-sensitive hashing,,,,,
,,Nonparametric regression,,,,,
,Support Vector Machines,,,,,,
,18.10. Ensemble Learning,,,,,,
,,Online Learning,,,,,
,Practical Machine Learning,,,,,,
,,Case study: Handwritten digit recognition,,,,,
,,Case study: Word senses and house prices,,,,,
Knowledge in Learning,,,,,,,
,A Logical Formulation of Learning,,,,,,
,,Examples and hypotheses,,,,,
,,Current-best-hypothesis search,,,,,
,,Least-commitment search,,,,,
,Knowledge in Learning,,,,,,
,,Some simple examples,,,,,
,,Some general schemes,,,,,
,Explanation-Based Learning,,,,,,
,,Extracting general rules from examples,,,,,
,,Improving efficiency,,,,,
,Learning Using Relevance Information,,,,,,
,,Determining the hypothesis space,,,,,
,,Learning and using relevance information,,,,,
,Inductive Logic Programming,,,,,,
,,An example,,,,,
,,Top-down inductive learning methods,,,,,
,,Inductive learning with inverse deduction,,,,,
,,Making discoveries with inductive logic programming,,,,,
Learning Probabilistic Models,,,,,,,
,Statistical Learning,,,,,,
,Learning with Complete Data,,,,,,
,,Maximum-likelihood parameter learning: Discrete models,,,,,
,,Naive Bayes models,,,,,
,,Maximum-likelihood parameter learning: Continuous models,,,,,
,,Bayesian parameter learning,,,,,
,,Learning Bayes net structures,,,,,
,,Density estimation with nonparametric models,,,,,
,Learning with Hidden Variables: The EM Algorithm,,,,,,
,,Unsupervised clustering: Learning mixtures of Gaussians,,,,,
,,Learning Bayesian networks with hidden variables,,,,,
,,Learning hidden Markov models,,,,,
,,The general form of the EM algorithm,,,,,
,,Learning Bayes net structures with hidden variables,,,,,
Reinforcement Learning,,,,,,,
,Introduction,,,,,,
,Passive Reinforcement Learning,,,,,,
,,Direct utility estimation,,,,,
,,Adaptive dynamic programming,,,,,
,,Temporal-difference learning,,,,,
,Active Reinforcement Learning,,,,,,
,,Exploration,,,,,
,,Learning an action-utility function,,,,,
,Generalization in Reinforcement Learning,,,,,,
,Policy Search,,,,,,
,Applications of Reinforcement Learning,,,,,,
,,Applications to game playing,,,,,
,,Application to robot control,,,,,
